Title	Year	Rating	Runtime	Score	Votes	Famous	RatingGroup
A Cozy Christmas Inn	2022	TV-G	84	6	699	FALSE	G
A Christmas Wish	2011	Not Rated	97	6.5	1959	TRUE	Other
Get Santa	2014	PG	102	6.3	4204	TRUE	PG
The Princess Switch: Switched Again	2020	TV-G	96	5.4	12165	TRUE	G
12 Dates of Christmas	2011	PG	90	6.3	7300	TRUE	PG
The Princess Switch 3	2021	TV-PG	106	5.5	6482	TRUE	PG
A Princess for Christmas	2011	TV-G	91	6.3	8560	TRUE	G
The Spirit of Christmas	2015	Unrated	91	6.4	7556	TRUE	Other
The Holiday Calendar	2018	TV-PG	95	5.7	10695	TRUE	PG
Christmas Catch	2018	TV-PG	87	5.4	1670	TRUE	PG
Rent	2005	PG-13	135	6.8	53963	TRUE	PG
Return to Christmas Creek	2018	TV-G	86	6.1	2128	TRUE	G
No Sleep 'Til Christmas	2018	TV-14	90	6.5	2590	TRUE	Other
Nativity 3: Dude, Where's My Donkey?!	2014	NA	109	3.6	1913	TRUE	Other
Nativity Rocks!	2018	NA	100	4.3	700	FALSE	Other
12 Gifts of Christmas	2015	TV-G	83	6.3	4871	TRUE	G
Godmothered	2020	PG	110	6.1	12915	TRUE	PG
Crown Prince of Christmas	2022	NA	85	5.2	172	FALSE	Other
Christmas Wedding Planner	2017	PG	86	4.4	6370	TRUE	PG
Tokyo Godfathers	2003	PG-13	92	7.8	41712	TRUE	PG
The Christmas Shoes	2002	TV-PG	100	6.6	2732	TRUE	PG
All I Didn't Want for Christmas	2022	NA	89	6.2	149	FALSE	Other
Debbie Macomber's Dashing Through the Snow	2015	Not Rated	83	6.5	2422	TRUE	Other
The Most Wonderful Time of the Year	2008	TV-PG	88	7.3	4477	TRUE	PG
Christmas at Castle Hart	2021	TV-G	84	6.3	1606	TRUE	G
A Christmas Carol: The Musical	2004	Not Rated	97	6.3	2057	TRUE	Other
A Taste of Christmas	2020	TV-PG	91	5.6	546	FALSE	PG
Family for Christmas	2015	TV-G	82	6.2	2394	TRUE	G
Christmas Reservations	2019	TV-PG	86	6	839	FALSE	PG
Charlotte's Web	2006	G	97	6.3	43275	TRUE	G
The Christmas Card	2006	NA	84	6.9	4233	TRUE	Other
Coming Home for Christmas	2017	TV-G	86	6.6	2229	TRUE	G
A Christmas Movie Christmas	2019	Unrated	85	5.6	1363	TRUE	Other
A Cinderella Christmas	2016	Unrated	93	6.2	3234	TRUE	Other
Noel	2004	PG	96	6.1	10096	TRUE	PG
I'm Glad It's Christmas	2022	NA	85	6.7	318	FALSE	Other
Christmas on the Square	2020	TV-PG	98	5.2	2858	TRUE	PG
Mrs. Miracle	2009	Not Rated	90	6.6	3043	TRUE	Other
Feast of the Seven Fishes	2019	NA	99	6.7	1387	TRUE	Other
Love, Lights, Hanukkah!	2020	TV-G	84	6.8	1010	FALSE	G
Hometown Holiday	2018	TV-PG	84	5.1	1120	FALSE	PG
Reindeer Games Homecoming	2022	TV-PG	90	7	410	FALSE	PG
Jingle Bell Princess	2021	7+	90	6.5	908	FALSE	Other
Christmas in Evergreen	2017	TV-G	84	6.5	2707	TRUE	G
Kirk Cameron's Saving Christmas	2014	PG	79	1.3	16146	TRUE	PG
Merry Swissmas	2022	TV-PG	88	5.4	444	FALSE	PG
The Christmas House	2020	TV-G	84	6	2283	TRUE	G
One Christmas Eve	2014	Not Rated	86	6	1480	TRUE	Other
Christmas Again	2021	AL	94	5.2	956	FALSE	Other
Small Town Christmas	2018	TV-G	85	6.7	1704	TRUE	G
Holiday in Santa Fe	2021	AL	85	6.1	961	FALSE	Other
The Sweetest Christmas	2017	TV-G	90	6.3	2450	TRUE	G
Dear Christmas	2020	TV-G	86	6	1301	TRUE	G
One Royal Holiday	2020	TV-G	87	7	2110	TRUE	G
Barbie in the Nutcracker	2001	TV-Y	76	6.3	6796	TRUE	Other
Christmas at the Plaza	2019	TV-G	84	6.5	2900	TRUE	G
The Mistle-Tones	2012	TV-PG	90	6.4	2353	TRUE	PG
A Christmas Prince: The Royal Wedding	2018	TV-PG	92	5.3	11200	TRUE	PG
A Timeless Christmas	2020	TV-G	84	7	2680	TRUE	G
Christmas in the Smokies	2015	TV-G	88	5.8	1519	TRUE	G
Christmas at the Palace	2018	TV-G	85	6.3	2276	TRUE	G
A New Orleans Noel	2022	TV-PG	85	5.9	175	FALSE	PG
Rocky Mountain Christmas	2017	TV-G	90	6.5	1681	TRUE	G
Christmas Plus One	2022	NA	92	6.1	198	FALSE	Other
How to Ruin Christmas	2020	TV-MA	50	6.4	589	FALSE	Other
Christmas Ransom	2022	NA	84	4.7	221	FALSE	Other
A Veteran's Christmas	2018	TV-G	84	6.9	2085	TRUE	G
The Mistletoe Promise	2016	TV-G	84	6.6	3432	TRUE	G
A Bride for Christmas	2012	TV-G	84	6.5	4260	TRUE	G
The Christmas Setup	2020	TV-PG	85	6.8	2499	TRUE	PG
The Christmas Miracle of Jonathan Toomey	2007	6	91	6.4	1144	FALSE	Other
Silent Night	2002	TV-PG	100	7.5	1724	TRUE	PG
A Christmas Love Story	2019	TV-G	84	6.9	1527	TRUE	G
A Shoe Addict's Christmas	2018	TV-G	85	6.5	2721	TRUE	G
The Christmas Cottage	2017	TV-G	90	6.3	2142	TRUE	G
Call Me Mrs. Miracle	2010	Not Rated	90	6.8	2241	TRUE	Other
A Royal Christmas	2014	TV-G	90	6.5	4633	TRUE	G
Scentsational Christmas	2022	TV-PG	85	5.3	190	FALSE	PG
A Christmas Prince: The Royal Baby	2019	TV-PG	84	5.4	7198	TRUE	PG
My Dad's Christmas Date	2020	NA	91	5.5	1879	TRUE	Other
